ID,Reviews,Ratings
295,"I got a lackluster and marginally impersonal response from this company when I wrote in and asked them if they'd accidentally sent me a child-size toe ring. I'd never received one so tiny before or had this issue at all via amazon, let alone brick & mortar jewelry stores. It is a pain to adjust, and will slip off adjusting it to the size of my other toe rings when they're not extended whatsoever. That was my cue that I wasn't imagining the discrepancy lol it's painful to keep on when adjusted to the point that it won't slip off. Save your $ unless you're buying it for a toddler. If you extend it so it fits your smallest, normal-sized adult toe, it will fall off. If you tighten it enough so that it will stay on, you can't walk. Someone in eve'saddiction manufacturing dropped the ball somewhere
",1
297,"This brooch is far too small and expensive for its size. I was shocked when I pulled it out of its pouch. May I iterate, it is far too small. Without a moment's hesitation this brooch was immediately returned.
",1
307,"I don't actually own the product, but I happened to notice something wrong. The title of the product is ""Midnight Gem LEO Zodiac Sign Dangle Belly Ring"". This is what I noticed: The symbol isn't Leo, it's Taurus! The sellers of this product needs to rename it ""Midnight Gem TAURUS Zodiac Sign Dangle Belly Ring.
",1
352,"Very pretty looking but I wore it twice and stones (yes more than one) have fallen out never to be seen again. Waste of money.
",1
360,"I'm not sure why everyone is raving about this. My girlfriend bought this and she was highly disappointed. The metal is very thin and cheap....the stone is also fairly cloudy and it's HIGHLY apparent it's fake. This ring should be priced more like $2.99.
",1
362,"I own a 1 ct. real diamond and puchased this ring for fun while my ring was being serviced. This ring is about 2.5- 3 carats. From afar, this ring may look real but it looks very fake close up. The setting is poorly constructed and looks like you'd get it from claire's. The stone is sparkly but the color looks like it is a cubic zirconia. I'm almost too embarrased to wear it because it looks so fake. For those reviewers that stated the ring was ""gorgeous"" and ""looks real"", they clearly don't have diamond experience. Maybe I'm a snob, but don't get his ring thinking it'll pass off as real. Think about it like this.... what you pay for is what you get. If you pay $18.99 for a ring, it'll look like an $18.99 ring.
",1
379,"Ok so I wanted a ring that could replace my wedding ring till I could get a new one and fell in love with this one till it was sent to me. It looks like a dollar store ring! its cheap looking and I was very disappointed. The one thing that was good about this product is that it was in my mailbox within 2 days of ordering it!
",1
406,"When I ordered this locket, I expected to receive a beautiful, antique-looking locket, that looked the same in the picture as it did in my hand. I was extremely disappointed. The locket itself is made of cheap, thin metal. The ""antique"" effect is just black paint in the creases. It appears as if the locket was dipped in motor oil, but not thoroughly cleaned. The chain is almost as bad. It is very bulky, much larger than it looks in the picture. AND the chain broke seconds after I got it out of the package (although the package was quite nice). To prospective buyers, don't waste your money. This necklace belongs in the garbage can, end of story.
",1
449,"I was really disappointed with the product. It is to thin and the chain turns a dark color after a few wears. I have only had this item for 3 weeks and have had to clean it four (4) times already. Would not recommend it for purchase.
",1
478,"These bracelets are so flimsy, skinny that they bend before you can even put them on. At first it seemed like good value, but they are not worth even $200.00 that I paid for each. Spend more to get something that doesn't collapse.
",1
505,"The produce got to me in good time, very good shape and the item was so well liked by the person I gave it too.I will order from this Company again.
",1
507,"It is painful. The head of the seahorse digs into the skin because of the length of the bar, and shape of the head.
",1
541,"This product was much larger than the picture showed. Also, It only would have fit a man's finger. It was almost scary looking and not represented well on line.
",1
550,"This product advertised as 'one size fits all' was too small. I returned it and they send me another. Also too small.
",1
558,"This is a nice bracelet. I would order it, but you have to tack on an extra 7.95 for shipping. not worth it when I can just go to Macy's and buy it for around 15 bucks.
",1
566,"This ring got broken the first week I use it. It's a weak ring that is know not useful. I paid for nothing. The stone was clear, it did not have a blue color and it was not a blue topaz.
",1
587,"ordered this spider, never came in the mail...contacted seller and said one was on the way....never came.
",1
606,"I'm used to the malleability of pewter, but this was ridiculous. Bent all-to-hell just from normal wear. Wouldn't suggest to a friend.
",1
620,"I just hate this product and ill tell u why. For starters its to flimsy it bends way to easly. After a few days from having it it stareted to get a hair line crack right next to the wolf. I wore it to dinner with my husband and it got snaged on my purse when i was geting something out and it just bent all the way back and snaped off. This pruduct suxs and im glad they arnt selling this awfull thing no more. I would not recomend it to no one. and yes this product does have a beautifull wolf on it but its just not a good sturdy metal.
",1
627,"I was very disappointed in the ring. The color is grey not sterling bright. I was looking for the somerset mesh ring but it was not available in size 9 so ordered this one which looked the same but was NOT i plan to return the ring.
",1
685,"I purchased this necklace for my daughter, having her first child. Gave it to her at her baby shower on Nov.3. It brought tears,she loved it so much. A month later she had to purchase a new chain for it. Last week the cameo came out of the rim, she barely tried to push it back in and it broke in half. It lasted almost 2 months, not counting the chain. It was something she wanted to keep for a lifetime. So disappointed!!!!!
",1
714,"not what i needed in size (too small for all the jewelry my granddaughter like to carry with her most of the times
",1
762,"If the seller had been specific about the size of this item, it would have eliminated the need of returning it. And MADE IN CHINA stamped on the back of it? -- REALLY !
",1
775,"these earrings do not lay right. It looked like I was taking off from outer space!!!!
",1
797,"I ordered these earrings for my 10 year old granddaughter and when they arrived I was very disappointed in how tiny they were. They were very pretty but very small.
",1
805,"I bought this navel ring awhile ago with clear crystals I thought it was cute and I liked how it is movable. Unfortunately only a couple days after wearing it one jewel fell out, and shortly after that another one fell out too. So I stopped wearing it altogether. I also bought another belly ring from the same company and that one began to tarnish quickly, So I don't think I will be taking any more chances ordering from this company any more.
",1
806,"I ordered 3 items. This necklace came to me with a nasty kink and a ring that had a dent in it.I had to send it back paying for the shipping handling......so I paid for the initial shipping and handling as well as the shipping and handling to send it backThis company is ripping off consumers!!!!!!!!!!!!!!!!!!
",1
812,"I ordered 3 items. This necklace came to me with a nasty kink and a ring that had a dent in it.I had to send it back paying for the shipping handling......so I paid for the initial shipping and handling as well as the shipping and handling to send it backThis company is ripping off consumers!!!!!!!!!!!!!!!!!!
",1
834,"When I opened the box I actually thought they forgot to include the pendant in with the chain. Then inside a tiny piece of tissue paper was a microscopic pendant. Considering I just purchased a cross from Ireland twenty times the size of this for only $20 more, you know this is going back. This is even too tiny for an infant.
",1
848,"I ordered 3 items. This necklace came to me with a nasty kink and a ring that had a dent in it.I had to send it back paying for the shipping handling......so I paid for the initial shipping and handling as well as the shipping and handling to send it backThis company is ripping off consumers!!!!!!!!!!!!!!!!!!
",1
857,"I ordered 3 items. This necklace came to me with a nasty kink and a ring that had a dent in it.I had to send it back paying for the shipping handling......so I paid for the initial shipping and handling as well as the shipping and handling to send it backThis company is ripping off consumers!!!!!!!!!!!!!!!!!!
",1
868,"I had purchase this as a gift for my wife on Mother's day. I recieved it in a timely manner. It came in a little bag and when I pulled it out it was in one big knot. I am still trying to this day to get the knot out, which means my wife still has not be able to wear it. I would not recommend this product from this vender until they can ensure it gets to you undamaged.
",1
888,"I found these cufflinks to be poor quality and barely resembling the photo in the listing. The silver tone film had bubbles on the face of the piece, the craftmanship was rough and inprecise. Overall, I was quite dissapointed. The vendor handled the return satisfactorily, promptly and courteously.
",1
890,"These broke almost immediately after purchasing. If you are someone who is going to wear cufflinks often then invest in something more quality.
",1
909,"At first glance this ring looks like no other. Ever since then, however, it has been nothing but a horrible mess. The tarnish free has tarnished! All of the stones lose their shine! Everything gets caught in the inside of the ring because it is practically hollow. If it even skims something it scratches. All in all nothing but a piece of junk!
",1
943,"It looks like a ring for a man when you look at the picture online, but in real life its a very feminine looking ring.
",1
1027,"Dispite paying EXTRA money for two day shipping, It is almost a week after my order and I STILL have not recieved this necklace. I also have not gotten any sort of response from the emails I have written the seller. HORRIBLE CUSTOMER SERVICE! I'm starting to think that I paid for something that I am never actually going to have sent to me.
",1
1091,"I didn't even have it on for an hour and the chained popped. All I did was get into the car!
",1
1112,"I was going to purchase this until I watched the video which reveals a ""Made in China"" stamp on the inside of one of the wishbone arms. That is pretty tacky!
",1
1162,"One look was enough ... sent back immediately. Packaging was nice though but quality was definitely sub par especially how light weight they were ... settings were cheap too.
",1
1172,"A little dsappointed in the quality of this ring. Doesn't look half as nice in person as it does in the catalog.
",1
1191,"Wasn't what I expected. Was not satisfied with this. Too small. I need to look at other sizes.
",1
1198,"First, the color of the stones is lighter than is pictured. I realize it is hard to capture color in a picture, but the ring I received has stones that are light purple to almost a pink color. For the price of the ring I can deal with that though, I mean, what can you expect for $29? The worst part is that it's just hard to wear because it's not comfortable. It would have been better with five stones instead of seven because the two outer stones rub against your other fingers and it gets annoying fast. I'll be returning this ring and will try something else.
",1
1202,"When I received this ring, I put it aside because I was very ill at the timewhen I did look at it, it was past the time to return it. In the picture it looksround, but when i received it, it is more square than round. it justlooks odd and now I have a ring that is ugly and no one wants it.
",1
1267,"I have used one of these for a month, and I have observed myself, my general wellbeing, and my backpain with and without the necklace, while sleeping, while doing sport, while at the office... and I have not noticed any difference at all. For this, and because, in my research, I have not been able to find a even a single scientifically justified reason for these to work, I am giving it one star. I only hope that others read this review and think twice before spending their money.
",1
1268,"I have also seen many people wear these. I workout a lot. I decided to order two braclets and measured my wrist at 7 1/8 and order 7 1/2. I could not close the clasp. I sent them back only to have them returned!!! They told me it was custom- I order one black and one orange- how is that custom. I talked to two CS reps with the same answer- non-refundable!! They could have saved one customer by giving the correct size and sending back, instead they go to the expense of writing a letter and postage to send back the braclets.I have many people ask me about these in the gym- I can now tell them- DO NOT BUY, THE CS SUCKS. I guess I will find some kid in Middle School with skinny wrist and give it to them. I'm blown away.
",1
1291,"Come on, people! If these products really worked, everyone would wear them! The manufacturers want you to think they work, so they can sell them and make $$$. I have tried the phiten, and the balance bracelet, and magnetic therapy. I have noticed no change in my myriad aches, pains, and stiffnesses. I have worn a phiten necklace for over a month, just to give it a chance. If anything, I feel worse with it on, so I am giving up. Save your money!
",1
1294,"My necklace broke within a few weeks of purchase. (The bracelet I bought with it was too small. I wore it anyways, and it fell off within days and I lost it.)
",1
1315,"I don't know who the hell thinks this works, but it doesn't. Nice necklace though. I haven't stopped wearing it just because I don't have any other necklace to wear.
",1
1317,"Very, very, very dissatisfied with this order... NOT the correct size. NOT the item pictured. Not the item titled. Says 18"", but it came as 22"". I have a small neck... However, it shipped/arrived extremely quickly. ONLY good thing about ordering this item. I could have gotten pretty much the SAME EXACT item for $4.99 from another seller on Amazon. Stole $10 from me.
",1
1328,"Most of the stones turned black after a month or so...if you want it to simulate diamonds as I did--this is not it. I bought it as a make-shift wedding ring while pregnant and unable to wear mine, this only worked for a short time.
",1
1337,"I ordered an eternity band for my wedding ring because I thought it was a great deal. However I recieved a totally different ring. I had been given an engagement ring with the double banded wedding ring and the size was not accurate. I am very disappointed. Now, I have to go find a ring before my wedding and there's no time left!
",1
1345,"I was really disappointed with my pair of Eide Black Tahitian cultured pearl earrings. Instead of the beautiful pair of greenish black pear shaped unblemished pearls shown above, I got a pair of greenish/pinkish totally irregular black ""apple"" shaped blemished pearls.I felt misled by the description and image of the product.For comparison, I will be sharing an image of the pair I got.I do not recommend this product.
",1
1348,"I hate to say it but this was a disappointment. Everything seems nicer in photographs when it comes to jewelry on a budget.
",1
1352,"This is a bunch of plastic beads stuck to a metal bracelet. You can find much nicer stuff at a craft fair. :-P
",1
1372,"This is a cheaply made item that doesn't work well. The box doesn't close properly as the wood is unevenly cut and placed together. Also, the figures, etc... inside are pretty poorly done. For the cheap price, you can't go wrong but I'd rather spend more and get something better quality.
",1
1378,"This product was so cheap looking! It wasn't worth a dime. I am very disappointed!
",1
1393,"Admittedly, a $[...] jewelry box is not going to be heirloom quality and its appearance is certainly pretty enough for the 4-yr-old daughter I bought it for. To my adult eye, the box has the appearance of hardened cardboard and the ballerina is painted plastic of the cheesiest kind. The real flaw is that the mechanism that stops and starts the music is of the crudest kind: it basically folds - and sometimes crushes - the ballerina itself. Sure enough - after very little time - the plastic ballerina snapped.
",1
1396,"This product was subpar. I ordered it as a going-away gift for a colleague we dubbed - the Dancing Queen. When it came, it looked used, although it did not state such on the order. When wound, the ballerina twirled for about 30 seconds and then stopped, never to dance again- no matter what we tried. I would not recommend this product to anyone- especially if it is for a child.
",1
1397,"I bought this box as a gift for my daughter, but it was awful. Made in China, it just looks cheap and like it could fall apart at any minute. The music it plays is pretty and everything worked OK, but I guess this was not what I expected it to be. Very disappointing. I would highly recommend investing a bit more and buying something that will hold up to a young girl's curiosity.
",1
1422,"I'm 20 years old, and I bought this ring as a promise ring for my girlfriend. At first it was beautiful, and there were no problems, but she has had it for a little over a month and it has given her such a bad rash that she has started bleeding. This is not real sterling silver and looks poorly made. I would definitely never suggest anyone buy this ring.
",1
1440,"First of all, the one I received was defective. The animated scene sticks once every revolution and stops playing. It is possible to nudge it with a finger and get it going again. By nudging it along, I discovered the box's other flaw. &#34;Silent Night&#34; is horribly abbreviated and doesn't sound remotely right. If you were singing, it would be, &#34;Silent night, holy night. Sleep in heavenly peace.&#34;For $20, I didn't expect a symphony. But it isn't even worth $20.Naturally, Amazon has an excellent return policy, so I am satisfied in getting my money back.
",1
1446,"I love ankle bracelets, and I've won one for years. this ankle bracelet has broken twice--each time I've worn it. I don't think I'm that tough on jewelry. I just think this ankle bracelet isn't substantial enough to survive being worn as an ankle bracelet.
",1
1478,"I have ordered many items with Amazon over the years and this is by far the WORST experience I have had. I was told that the item was being prepared for shipments and would ship June 30th thru July 2nd. It is now July 6th and I have not received an update. I also contacted Amazon customer service and have not received an update from them either. I do alot of online ordering and will try to order via Amazon whenever possible, I'm going to rethink that now as I recommend you do also.
",1
1484,"Ankle bracelett broke after one week of wear due to a weak link. Was not the quality I was expecting
",1
1507,"Very nice peridot necklace. I bought the 3-piece set for a birthday gift, and I was proud to give it as a gift.
",1
1552,"Arrived with several kinks in chain. It was a gift so we were not happy.Delivery time seemed long compared to other purchases.
",1
1568,"I'm still waiting to receive the item which was ordered over a month ago.
",1
1571,"Dear Sir,I am no expert in jewelry so I only know what I've seen,but this &quot;14k gold necklace&quot;is the worst pice of junk that I have had the unfortunate exprience to have had to bye. Did I actually said I bought it? Well then shame on me! Anyone even thinking of byeing this you've been warned!{so don't be anothere shame on you.} Just Don't do the same thing as I did resist yourself from buying it. Sorry guys make sure you put out a product worth selling for $65.00 or don't sell it at all!Sicerly,
",1
1587,"I needed to return this item after I bought it. It is not a finely polished piece of jewelry (you can feel that it is rough when you run your hand over it). It kept snagging the hair of the person I had given it to. It could be a potential problem for anyone with long hair.
",1
1601,"I put a diamond pendant on this chain which I wear all of the time. This necklace developed a kink within weeks, and broke in another month.
",1
1619,"I agree with the first review. Looks like kid's jewelry. Don't waste your money.
",1
1642,"I had an extremely difficult time trying to close the clasp. Just too small, practically impossible. I refuse to spend 5 or more minutes trying to put this necklace on.
",1
1707,"These earrings are way bigger than you would think they are. I don't see how they expect ANYONE to wear these!
",1
1709,"i still haven't recieved the product.i found out although i ordered it on 2/12----they DID NOT mail it until 2/26!!!!!!!!i am very VERY UNHAPPY with GEMWORKS COMPANY!!!!!!!i resolve never to do business w/ them again!!!!too bad they are connected w/ AMAZON.com because i have been pleased w/ amazon so far. i hope you let gemworks know about this as i was unable to get thru to them despite 4 e-mails!!!!!!!!!!thankyou-jan
",1
1743,"i still haven't recieved the product.i found out although i ordered it on 2/12----they DID NOT mail it until 2/26!!!!!!!!i am very VERY UNHAPPY with GEMWORKS COMPANY!!!!!!!i resolve never to do business w/ them again!!!!too bad they are connected w/ AMAZON.com because i have been pleased w/ amazon so far. i hope you let gemworks know about this as i was unable to get thru to them despite 4 e-mails!!!!!!!!!!thankyou-jan
",1
1759,"I bought a forzieri bracelet for my boyfriend this past christmas (2004) it is a version of the bracelet on this page.It was approximately $300 and one of the links broke almost IMMEDIATELY, we sent it to forzieri to get fixed (you have to ship it to Italy), and quite a few weeks later we got it back, problem fixed you would think no? NO! It broke again, same place, same problem a few months later. We sent it in early June once more to be fixed and have STILL NOT RECIEVED IT BACK. Upon them recieving it they sent me an e-mail promising it back in about a month!! I am writing this review on September 7th 2005 and the last contact I've had with them was 8/8 and I've sent a handful of e-mails since then with virtually no response, and when they do respond it's just to tell me it'll be a 'little while' longer.If you do decide to purchase from this company my advice is to be prepared to have it break, and pay for repairs locally if you want to keep it, because their repairs don't last and they take months.
",1
1784,"if you look at this ..it is 3D and appears to be faceted..be not decieved it is FLAT!This dissapointment would have been enough for me to score this low but the minus numbers arise because of the return policy....you have to jump through hoopes- slalum; climb everest; and oh.... in case you were thinking of sending the item back in a far superior package i.e. bubble envelope- because you threw out the rinky dinkey rubbish cardbord box that it came in... the joke is on you! So dumpster diving time!!!!What a shame! Never AGAIN!!!!
",1
1787,"I ordered a Chefmaster 8 pc BBQ set in case from Amazon.com vendor (Dashlynn.com). I knew what I wanted to give my father for Christmas and after searching the internet I found many different vendors offering the BBQ set I wanted. Once I found it on Amazon.com, I decided to order it because I have had such great service from your company. Everything is as promised and on time and with this being a Christmas gift...I needed it on time. So, I place my order on Dec. 11th and the item was listed as &quot;in stock&quot; and my estimate delivery was Dec 18-24. I knew this would be close, but with the product in stock, would be no problem. After a week of not hearing anything about my order shipping, I tried to call Dashlynn three times only to be told they would research it and call me back later -- and never calling back! I also sent two email notes to customer service. Finally, after three days of trying I got an email reply for Dashlynn.com stating that the item was out of stock and therefore I would not be getting it! Now I am really in a bind. I have no time to order the item from another vender this close to Christmas. This has been a HUGE dissapointment! I would have appreciated Dashlynn to notify me immediately after I placed my order of the order status and not a week and a half later, at my request! Also, I wish Amazon.com would not have this type of company listed under your umbrella. I trusted them because I trust you and they obviously do not live up to your customer service standards. I would like this passed on to them as well. I am not stuck with a few days to try and find something else for a gift. GET RID OF DASHLYNN!!!
",1
1816,"The quality and look were not what I had anticipated. Very flimsy.I would not recommend this item
",1
1829,"I was very disappointed when I received these earrings. I purchased them as a gift, but I'm not sure if I'll still give them away. They're called &quot;Pink Shell&quot; earrings, but the shell looks pretty white to me...more like mother-of-pearl without a hint of pink. If you're looking for pink, these won't be the earrings for you.
",1
1883,"You have got to be one of the most difficult websites to navigate, and the most difficult to find how to contact a person with which to discuss a problem ordering!
",1
1898,"Look! I know this ring is NOT available at this time, but as long as you have it listed you should tell the truth about it. I bought this ring from Amazon in 2007, and there is NO WHITE GOLD anywhere on it. That's just a photo-illusion. Plus, there are ONLY 30 DIAMONDS on it, not 34 as listed. You can count them yourself from the picture. Either CORRECT the description, or remove this item entirely from the listings. Thanks!
",1
1901,"These ear rings were going to be for my prom, i wanted them so bad as they were perfect for my dress, i could not afford it as i spent so much on other things, well my rush delivery it came out to be 23 dollars, my little sister with her babysitting money offered these as my graduation present! imagine her dissapoint when all her late hours taking care of screaming babies were for a rip off!! the earrings are about as tiny as my pinky nail! so sad they wouldve been the perfect gift :/ i tried contacting this seller and NO ANSWER!! when ups delivered it, the seal was already broken and the driver didnt even bother to knock our door he threw it on our door step and ran, no time to get to him..this was my first online purchase i have learned my lesson..
",1
1912,"Looks better online. I bought 3. And the despcription seemed like it was nice and really good quality. But it wasn't at all. It was cheap and the material thin.
",1
1920,"I love this bracelet, it is very pretty, but the clasp is not great, Easy to trip it up and it becomes unhinged and it left and i can't find it even after a month. : ( I don't think Amazon would replace it either. So it's just gone.
",1
1931,"I purchased this bracelet for a gift. It appeared to be a beautiful bracelet but it fell apart! The pieces of jade separated from the gold/silver part of the bracelet. When the gift was opened, the bracelet fell apart. The recipient glued it with a jeweler's glue but 10 days later another piece came apart. Horrible, horrible quality. I was very embarrassed. Purchasers BEWARE!
",1
1945,"Do not buy this. Cheap rubber color, which make the bags to stick together and and if you try to peel the bags the color will come out. Very bad packaging. They should have given individual paper in between each bag.
",1
1968,"I was not satisfied with this purchase. It did not look the same as it did online. It didn't fitas the other ring I purchased. It sits in the box because I've waited too long to return it.
",1
2053,"When I recieved this item it had split apart and was broken. I was so mad I just threw it away!!!
",1
2069,"I only wore a couple of times, and it broke yesterday, I don't know how can I get it fixed. There is no warranty card or vendor information to contact
",1
2073,"This ended up larger than I was hoping for and still haven't even bothered to wear them. Plus the look of them are not too appealing, imagine if they were stamped straight from a flat sheet of metal. The picture makes it look like they have some roundness or curve to them, but mine certainly did not.
",1
2074,"I'm searching for a very small pair of ankh earrings. These TINY ones are 15mm which is about 9/16 inch. Thats OVER 1/2 INCH! Diameter is usually used as the distance across a circle WHAT ARE THESE?
",1
2097,"If you read the add you (at least I was) are led to believe that you were getting more than one bracelet. They charged me $9 for shipping a small two ounce yellow padded envelope with only one inside which was double the price of the bracelet(s)! I tried contacting the company several times and could only leave messages of which no one returned my calls. I went back later and resurched the add and they had changed the price. Oblivious to me they had made a mistake advertising their product and were not going to honor their add. Shame on them!
",1
2117,"This 14K Yellow Gold 7 Inch x 3.0 mm Figaro chain bracelet felt like tin and had an unattractive bright yellow shine. It had the type of shine were I felt if the bracelet were larger I could clearly see my face in it. The edges of the bracelet were rough on the skin. So it went back in the box and was returned. I was a very disappointed customer.
",1
2154,"We purchased this item for our daughter, mainly because of a glowing review about the presentation box and the exceptional quality of the pearls. When the necklace arrived, we felt it looked like something from a ""dime store"" and was in a plain box, not a hinged box as the ad seems to convey. We're returning the item for a refund.
",1
2158,"I don't know how anyone could give this necklace a good review..""Dime store"" is not even the word for how cheap looking these are.Can't even get them to hang straight because the string is too tight.The ""delicate clasp"" is more like the stuff you get out a gumball machine.
",1
2168,"Extremely poor quality. I cannot recommend.
",1
2178,"Picture looks nice but real thing is very far away from that. I highly do not recommend anyone buying this product.
",1
2220,"As the product discripted, they are supposed to be in assorted colors. Unfortunetlly, the ones I have received are in only one color, which is red!!!
",1
2226,"could barely hold a ring.need in a bigger size to accomodate braceltst that we are sellinglsdkfo lfklfk dflvfkfg lfklfkl fklfk
",1
2241,"Ordered this $60.00 chain. From the picture, it looked to be a nice substantial chain to be given to my one year old grandchild. When I received the chain, I was extremely disappointed. The chain is ridiculously flimsy and light weight. One yank and it will break. I had planned to purchase two additional chains but have changed my mind for the price to value is just not there.
",1
2243,"Look! I know this ring is NOT available at this time, but as long as you have it listed you should tell the truth about it. I bought this ring from Amazon in 2007, and there is NO WHITE GOLD anywhere on it. That's just a photo-illusion. Plus, there are ONLY 30 DIAMONDS on it, not 34 as listed. You can count them yourself from the picture. Either CORRECT the description, or remove this item entirely from the listings. Thanks!
",1
2255,"Although these are sterling silver, they are very light weight, so they do not hang well, making them look cheap. The strands are linked by very small chains so they don't move/dangle and even get stuck sideways instead of straight down, again making them look cheap. Needless to say, I returned them. I guess you have to buy the real thing... sigh.
",1
2257,"i just received these today and they don't look anything like crabs. if you could distinguish any animal characteristics it would be a spider, but mostly they look like little blobs of shiny metal. don't be deceived by the detailed look of the picture.
",1
2270,"I wish I had given more credibility to the negative reviews. Frankly, I don't understand how there ecould be so many positive reviews. It's an ok chain - if you want to wear it by itself. But it's not good for pendants, as advertised. It remains perfectly stiff and oval shaped when worn - even a large pendant doesn't pull the chain down as a pendant normally does. I'm returning it.
",1
2331,"I recieved this as a gift for my birthday, and when I opened it, I was terribly dissapointed. The earrings have two different prongs. One earring has all three prongs pictured (one of which looks like 'v', as shown), and the other has a different prong at the point of the earring. They are unwearable! The vendor has very poor quality control: they either should have noticed this before they shipped it, or their craftmanship is poor.
",1
2336,"I just called my father-in-law in another state to ask how he liked the tie tack we sent him and he said he never got it. How do I contact the jeweler to find out what happend to it.
",1
2368,"I have made a number of purchases from this vendor through Amazon and generally I have been pleased. These earrings are not suitable for an adult and indeed would probably be too small and too difficult to open for a child. I am returning this pair. They were inexpensive but I would not keep them even if they were free
",1
2383,"Frankly, I'm angry. I never received the item ever. The company won't return my emails or calls. The only time they responded they told me it was already delivered, which it clearly was not.DO. NOT. BUY from this vendor.
",1
2386,"These earrings are too small only a newborn can use it. Do not buy it you are better off going to your local pop's and mom's shop
",1
2403,"Yes, they are small, but what I got and what's in the picture are not even close! My earrings are all orange stones with none of the lovely shading that enticed me to order them. Talk about being disappointed, that's an understatement. Too bad, so sad, I've been had.
",1
2440,"I will be returning this item. In the picture it appears that this necklace has very nice marcasite stones, but they are so tiny you can barely see them. Also, despite what the picture seems to show, there are only five stones. And the chain is just like those on gumball machine necklaces.
",1
2500,"I returned this after I received it. To me it looked very cheap and not worth the cost. Looked like a child's charm, but it was hand crafted. The return was very easy and they handled it very well. It was a good company to deal with, unfortunately I was not satisfied with the item.
",1
2543,"Beware - this product looks nothing like the picture. There is no detail - just a tiny flat piece of gold and definitely not worth the price, and the bale is not even soldered. I sent it back.
",1
2550,"After 1 month the cord broke in half. It appears the cord must have been rotten or too long in stock
",1
2601,"As the previous reviewer stated, the band on this ring is just intolerably thin. The first ring I received was so beautiful that I hoped the crumpled band was an aberration, so I contacted the company and sent it back for a replacement. They were very courteous and prompt in all communications. Unfortunately, the second ring also had a hair-thin band, but at least it wasn't already crumpled in the box! I'm afraid to wear it; it's so thin. But it's so beautiful and relatively inexpensive that I decided to keep it, and maybe look into getting the band reinforced -- although that will likely cost more than the ring did.
",1
2642,"bracelet looks like what is shown but it is 7 INCHES in length absolutely NOT 9 INCHES stated in description. lost return info and guess will have to give it to someone else since it is two inches off. Very DISAPPOINTED.
",1
2647,"Well as for the quality of the product it is very good, however it is not what I had purchased and I have had no replies to the messages I have sent.
",1
2648,"I guess I shouldn't have been disappointed but I am. I purchased it because I am a very small person and I thought that this would be the perfect size. However, it's much smaller than it appears. I wear about a size 3 and the 3-prong diamond barely covers 1/4 of my finger. The gold does not appear to be 14k either as this is really light-weight and a very light yellow shade. I almost thought that I bought a white gold band. This ring has a very flimsy feel to it and it's cheaper than I would have imagined. Not to mention that the ring was an imperfect circle. I wouldn't be surprised if it bent if I squeezed it. I am even more disappointed because Amazon did not send a certificate with it like they did when I purchased my previous ring. I do not recommend this ring to anyone. It looks dinky and you're better off purchasing a 1/4 ct solitaire. This ring just doesn't look right.
",1
2674,"I RETURNED THE EARRINGS PER INSTRUCTIONS GIVEN BY PEARL CLOSEOUTS, AND HAVE NOT HEARD A WORD FROM THEM. I HAVE SENT 4 EMAILS, NOTHING I WANT MY MONEY REFUNDED NOW, ASAP I WILL NEVER BUY FROM THEM AGAIN NOR DO I SUGGEST ANYONE MAKE A PURCHASE.
",1
2698,"I am returning this necklace. The silver is so bright that it looks fake, and the CZ settings are klunky, not delicate the way it appeared in the photo.
",1
